chapter_index	chapter_start	chapter_end	chapter_title	representative_verse_ref	representative_verse_start	representative_verse_end	representative_verse_text
1	00:00:00,000	00:00:23,999	סיכום אליפז ופתיחת איוב	ה, כז	00:00:20,560	00:00:25,979	הִנֵּה־זֹאת חֲקַרְנוּהָ כֶּן־הִיא שְׁמָעֶנָּה וְאַתָּה
2	00:00:24,000	00:02:17,999	איוב מתאר את כאבו	ו, א	00:00:25,980	00:00:29,819	וַיַּעַן אִיּוֹב וַיֹּאמַר
3	00:02:18,000	00:03:14,999	בגידת הרעים	ו, יג	00:02:19,780	00:02:23,719	הַאִם אֵין עֶזְרָתִי בִי וְתֻשִׁיָּה
4	00:03:15,000	00:04:33,999	הוכיחו אותי באמת	ו, כט	00:04:18,060	00:04:28,739	שׁוּבוּ־נָא אַל־תְּהִי עַוְלָה וְשֻׁביּ וְשׁוּבוּ
5	00:04:34,000	00:05:42,999	צבא לאנוש	ז, א	00:04:35,000	00:04:41,699	הֲלֹא־צָבָא לֶאֱנוֹשׁ עֲלֵ־עֲלֵי־אָרֶץ
6	00:05:43,000	00:07:10,999	איוב מול ה׳	ז, כ	00:06:49,460	00:07:03,839	חָטָאתִי מָה אֶפְעַל לָךְ נֹצֵר
7	00:07:11,000	00:08:22,999	בלדד משיב	ח, א	00:07:12,120	00:07:15,199	וַיַּעַן בִּלְדַּד הַשּׁוּחִי
8	00:08:23,000	00:10:35,999	משל הגומא והעץ	ח, י	00:08:40,660	00:08:54,559	הֲלֹא־הֵם יוֹרוּךָ יֹאמְרוּ לָךְ וּמִלִּבָּם
9	00:10:36,000	00:13:20,999	איוב מול עוצמת ה׳	ט, א	00:10:53,060	00:10:54,499	וַיַּעַן אִיּוֹב וַיֹּאמַר
10	00:13:21,000	00:15:18,999	תם ורשע	ט, כב	00:13:22,380	00:13:36,059	תָּם וְרָשָׁע הוּא
11	00:15:19,000	00:17:45,999	אל תרשיעני	י, טו	00:16:51,900	00:17:06,359	אִם־רָשַׁעְתִּי אַלְלַי לִי וְצָדַקְתִּי לֹא־אֶשָּׂא
12	00:17:46,000	00:18:30,999	צופר משיב	יא, ו	00:18:23,060	00:18:31,999	וְיַגֶּד־לְךָ תַּעֲלֻמוֹת חָכְמָה כִּי־כִפְלַיִם לְתוּשִׁיָּה
13	00:18:31,000	00:19:33,999	החקר אלוה	יא, ז	00:18:32,000	00:18:56,579	הַחֵקֶר אֱלוֹהַּ תִּמְצָא
14	00:19:34,000	00:20:38,640	הכינות לבך	יא, יג	00:19:35,200	00:19:41,679	הֲכִינוֹתָ לִבֶּךָ וּפָרַשְׂתָּ
